"","EVTYPE","n"
"687","RECORD COLD AND HIGH WIND",1
"688","RECORD DRY MONTH",1
"689","RECORD EXCESSIVE RAINFALL",1
"690","RECORD HEAT WAVE",1
"691","RECORD HIGH TEMPERATURES",1
"692","RECORD MAY SNOW",1
"693","RECORD PRECIPITATION",1
"694","RECORD SNOW COLD",1
"695","RECORD WARM",1
"696","RECORD WARM TEMPS.",1
"697","ROGUE WAVE",1
"698","SEASONAL SNOWFALL",1
"699","SEVERE COLD",1
"700","SEVERE TURBULENCE",1
"701","SLEET & FREEZING RAIN",1
"702","SLEET ICE STORM",1
"703","SLEET RAIN SNOW",1
"704","SMALL STREAM",1
"705","SMALL STREAM AND",1
"706","SMALL STREAM AND URBAN FLOODIN",1
"707","SNOW- HIGH WIND- WIND CHILL",1
"708","SNOW  BITTER COLD",1
"709","SNOW  ICE",1
"710","SNOW ADVISORY",1
"711","SNOW AND ICE STORM",1
"712","SNOW AND WIND",1
"713","SNOW HEAVY SNOW",1
"714","SNOW RAIN",1
"715","SNOW RAIN SLEET",1
"716","SNOW SLEET RAIN",1
"717","SNOW\COLD",1
"718","SNOWFALL RECORD",1
"719","SNOWSTORM",1
"720","SOUTHEAST",1
"721","STORM FORCE WINDS",1
"722","STREAM FLOODING",1
"723","SUMMARY AUGUST 17",1
"724","SUMMARY AUGUST 2-3",1
"725","SUMMARY AUGUST 21",1
"726","SUMMARY AUGUST 28",1
"727","SUMMARY AUGUST 4",1
"728","SUMMARY AUGUST 7",1
"729","SUMMARY AUGUST 9",1
"730","SUMMARY JAN 17",1
"731","SUMMARY JULY 23-24",1
"732","SUMMARY JUNE 18-19",1
"733","SUMMARY JUNE 5-6",1
"734","SUMMARY JUNE 6",1
"735","SUMMARY OF APRIL 13",1
"736","SUMMARY OF APRIL 27",1
"737","SUMMARY OF APRIL 3RD",1
"738","SUMMARY OF AUGUST 1",1
"739","SUMMARY OF JULY 11",1
"740","SUMMARY OF JULY 2",1
"741","SUMMARY OF JULY 22",1
"742","SUMMARY OF JULY 26",1
"743","SUMMARY OF JULY 29",1
"744","SUMMARY OF JULY 3",1
"745","SUMMARY OF JUNE 10",1
"746","SUMMARY OF JUNE 11",1
"747","SUMMARY OF JUNE 12",1
"748","SUMMARY OF JUNE 15",1
"749","SUMMARY OF JUNE 16",1
"750","SUMMARY OF JUNE 18",1
"751","SUMMARY OF JUNE 23",1
"752","SUMMARY OF JUNE 24",1
"753","SUMMARY OF JUNE 30",1
"754","SUMMARY OF JUNE 4",1
"755","SUMMARY OF JUNE 6",1
"756","SUMMARY OF MARCH 14",1
"757","SUMMARY OF MARCH 24",1
"758","SUMMARY OF MARCH 24-25",1
"759","SUMMARY OF MARCH 27",1
"760","SUMMARY OF MARCH 29",1
"761","SUMMARY OF MAY 10",1
"762","SUMMARY OF MAY 13",1
"763","SUMMARY OF MAY 14",1
"764","SUMMARY OF MAY 22",1
"765","SUMMARY OF MAY 22 AM",1
"766","SUMMARY OF MAY 22 PM",1
"767","SUMMARY OF MAY 26 AM",1
"768","SUMMARY OF MAY 26 PM",1
"769","SUMMARY OF MAY 31 AM",1
"770","SUMMARY OF MAY 31 PM",1
"771","SUMMARY OF MAY 9-10",1
"772","SUMMARY SEPT. 25-26",1
"773","SUMMARY SEPTEMBER 20",1
"774","SUMMARY SEPTEMBER 3",1
"775","SUMMARY SEPTEMBER 4",1
"776","SUMMARY: NOV. 6-7",1
"777","SUMMARY: OCT. 20-21",1
"778","SUMMARY: OCTOBER 31",1
"779","SUMMARY: SEPT. 18",1
"780","THUNDERESTORM WINDS",1
"781","THUNDERSNOW",1
"782","THUNDERSNOW SHOWER",1
"783","THUNDERSTORM DAMAGE TO",1
"784","THUNDERSTORM HAIL",1
"785","THUNDERSTORM W INDS",1
"786","THUNDERSTORM WIND  TREE",1
"787","THUNDERSTORM WIND (G40)",1
"788","THUNDERSTORM WIND 52",1
"789","THUNDERSTORM WIND 56",1
"790","THUNDERSTORM WIND 59",1
"791","THUNDERSTORM WIND 59 MPH",1
"792","THUNDERSTORM WIND 59 MPH.",1
